아이디,댓글 내용
  꽃보다 은우,건설업( 시끄러운 환경)에 계셨지만 젊을때는 그래도 일상생활에 지장은 없으셨는데~40대는 집에 tv볼륨을 최대치로 들으셔야되고 50대는 뇌종양 수술후로는 급격히 안좋아져서 일상생활에서 대화가 어렵고 가족들외에는 항상 한번씩 되묻는경우가 빈번해져서 실수하시거나 하는 불편함을 느끼는경우가 많더라구요  검진 받으라고 여러차례 말씀드렸는데 ;; 이게 본인이 늙어서 그렇다? 그리고 보청기 끼는게 불편하고 노인된거같다고 생각하셔서 그런지 계속 거부 하다가60대 뇌종양이 재발되서 방사선치료하다  이비인후과 진료보시구 선천적 요인 + 그리고 환경적 요인 등때문에 발생한 귀질환이라서 수술치료 가능하다고 하셔서 이번달에 한쪽귀 내년에 반대쪽귀 수술 예정입니다tv볼륨을 너무 크게 키우지 않는지 일상생활에서 커뮤니케이션이나 이런부분에 어려움 겪는분 예를 들어 은행업무나 병원가면 직원분들 설명들으신걸 한번에 처리를 못해서 직원분이 보호자를 찾거나혼자 방문시에는 처리를 못해서 두번 방문하거나 해야되더라구요 특히 코로나로 마스크쓰면서 더 심해진거 같은데 이런분이시거나 부모님이 계시면 꼭 병원검진 필요한거같아요~저도 단순히 자연스런 노화 과정으로 치부할뻔했거든요 ~~수술결정을 내리고서야 아빠가 평소에 직장에서도 힘들었다 하시는데 좀더 일찍 병원갈걸 후회중이네요
  lolmoonlolv문,난청으로 병원에 갔는데 돌발성난청이 왔을때 바로 오는 경우 아니면 치료가 불가능하다고 하시던데 영상에서는 난청치료를 받아야 한다고 하시네요. 어떤 치료가 이뤄지나요?
  JJ K,"전 이명있어서 병원가서 이것저것 검사해보더니 난청이 왔다가 나았다고 하더라고욬ㅋㅋㅋㅋ 그래서 눼? 정확히 무슨 검사였는지 기억안나는데 저 의자에 뱅글뱅글 돌려보고 무슨 그래프보고 말씀하셨어요. 아니근데 난청이 언제어떻게 왔다가 가신건지 선생님께서 정확히 말안해주셨어… 선생님 영한, 막 개업하신분같았는데 기술설명자체에 너무 신이나셔서 제대로 물어보지도 못하고 그래프 설명만 듣다가 나옴 ㅠ"
  송주영,사람 많을 때 나는 소음 속 소리와 전화소리를 잘못들었는데 이 증상이 큰 상관없어보이는 우울증 치료이후 이 증상이 많이 완화 됐더라구요. 신기해서 적어보고가여
  성하,80세는 80프로가 난청이라니 ㄷㄷ 무섭네
  Soeun Lee,저만 그런지 모르는데 저는 듣고 한 2-3초 뒤에 이해가 되거나 아니면 소리는 들리는데 뭐라고 하는지 모르는 때가 많아요. 청력검사하면 정상으로 나오고요.. 혹시 이건 정신과에 관련된 문제일까요? 아니면 뇌 문제일까요ㅠㅠ 사회생활에 너무 불편해요
  노아,드럼치는데 귀마개 꼭 해야겠네요..
  해파리,어라...병원 가봐야되겠다ㅋㅋㅋㅋ영어듣기평가 이런건 괜찮은데 일반 대화에서 종종 에러남...
  gold ingot,20~30대에도 가끔 난청이 있는 사람들은 아마 군대에서 원인이 생겻지 않았을까 하는 생각도 듭니다 그게 아니라면 스트레스??
  바다선인장,한쪽 귀만 중등도 난청인데 치매 위험 관련있을까요? 이소골 뼈가 녹아서 수술적인 방법뿐인듯한데 아직 망설여지네요ㅜ 가벼운 수술일까요?
  하유랑,메니에르때매 난청이 생겨서 계속 치료받고있는데 호전은 없고 돌발성난청생겼다 이명생겼다 계속 반복하고ㅠ 흑흑...ㅜㅜ
  송은지,항생제도 함부로 먹으면 안되는구나!! ㅠㅠ
  쿠쿠루봉봉,이선균씨 목소리 좋은데 잘못알아들어서 넷플 자막키고 봐요. 친구랑 전화하다가도 발음이 웅얼웅얼 뭉개져서 들릴 때 있구요. ㅜㅜ
  권순우,"안녕하세요 혈액형 관련질문하나 드립니다 제가 잘못이해한 부분이있을수있어 블로그에 혈액형 검사결과 올려두었습니다 (링크때문에 댓글이 삭제돼서 링크는 못올리고 네이버블로그 아이디검색에 chldusqns 검색해서 봐주세요 죄송합니다ㅠㅠ) 저는 제 혈액형이 O negative 라고 알고있다가 얼마전 첫 헌혈을 하면서 혈액검사를 진행했습니다 몇일뒤 검사결과가 나왔는데 결과화면이 명확하지않아 헷갈리지만 제가봤을때 abo 아형, Rh negative weak D 형 이 나왔다는것 같습니다 그래서 궁금한점이 1. abo 검사에서 아형이 나왔으면 제 혈액형은 O형이 아닌건가요 2. Rh negative는 D 항원이 없다는것으로 알고있는고 Rh weak D 형은 D항원이 양적이나 질적으로 특이한점이 있다는걸로 알고있는데 Rh negative 이면서 Rh weak D 형일수 있는건가요?"
  전희서(파란큐빅),"정상 청력에서 100데시벨 까지떨어진 상태에서 인공와우 수술 3년차예요수술 안 했으면 진짜 어떻게 살았을지;;과학, 의료 기술 발달과 전자 기기 발전까지 현재 적용 할 수 있는 모든 기술 대통합이예요!!궁금한거 있으시면 물어 보세요"
  나천재야알아,   아빠  엄마  소음현장작업근로자분들  운전예민   민감  고난이도작업자 우울증   가족들  나빠지지않게 가족챙기기   노화를켜지말고지금있는나를지켜
  린크,청력검사는 정상수치보다 높아서 귀가 엄청 좋다고하는데 난청이... ㅠ 뭐 말을해도 잘 안들리고.. 집중력문제인가
  고앵,항생제라면.... 제가 페니실린 쇼크가 온 적이 있는데 그게 원인이 될 수도 있는 걸까요?
  미호_miho,전 태어날때마다 난청을 가지고 태어나서 청력 장애인이라고 했었다고 하네요 지금은 보청기 가지고 껴서 다니고 있습니다(넘 불편해)
  주성유,저는 이십대부터 난청이 와서 지금도 소리를 잘 못듣고 불편한데요... ㅠㅠ 치매까지 연관되있다니....일부러 이어폰 요즘에 잘 안끼고있습니다.. 한달에 네다섯번 낄까말까 하네요 무서워요 난청 ㅠㅠ
  이건못참지,"제목에 ""원인가"" -> ""원인과"" 아닌가요?"
  쌤최고,안녕하세요 닥터프렌즈 쌤들 헬프님들 
  은은,저는 사오정이에요ㅠㅠ 좀 시끌시끌한 곳에서 바짝 집중해서 들어도 잘못알아들어오ㅜㅜ
  林,2:43 헐 검사 받아봐야겠네요
  이지후,코르캐쉬 치매설 ㄷㄷ
  sdgerer85,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ짱잼인디
  김보람,낙준샘 왜 살이 계속빠지시나요 ㅜ ㅜ
  애덕생,우왕..
  이루리,제목 오타났어용!
  진서,자막이 너무 작아요우……
  나천재야알아,항생제 먹고 죽을뻔했어요
  애덕생,난청이 뭐ㅈ
  ㅇㅇ,3:25 어? 영험하구나
  크로아탐,와... 나이팅게일 그냥 간호사 위인 정도로만 생각했었는데 의료의 역사에 한 획을 그은 엄청난 사람이였구나....
  글피부터,오오..나이팅게일이 실질적으로 어떤 역할을 했었는지 이 영상에서 처음 알았어요! 초등학생때 얇은 위인전에서 대충 읽은 게 다라.. 자세한 얘기는 전혀 몰랐는데 나이팅게일 같은 분들에 대해 더 많이 이야기 듣고싶어요 ><
  안건희,썸네일 보이면 의학의 역사가 궁금해서 들어오는게 아니라 ㄹㅇ 어이없어서 들어옴ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
  H Lee,와ㅋㅋㅋㅋ 의학의 역사는 모아서 엮어가지고 책으로 따로 내도 너무 재미있을 것 같아요ㅋㅋㅋㅋㅋ오늘도 의학의 무구한 발전에 감사하네요ㅠㅠ
  누스,어마어마하게 충격적인 내용이였네요지금은 위생이 건강의 기본이라고 배우지만 그게 19세기도 지나 20세기에서야 겨우 정착된거였군요오늘도 현대 의학발전에 감사하며 몰입해서 봤습니다.재밋는 영상 항상 감사합니다!
  민재김,"6:03 진짜 이집트는 고대시대떄는 엄청난 문명이었구나라는 걸 다시한번 느낍니다. 의학의 역사하면 빠지지않고 나오고 평민(중산층?)이 ""꿀""이나 기름을 ""상처에"" 바르고 ""붕대""를 감을 정도였다니 ㄷㄷ"
  청장미,와.. 진짜 역사에 이름을 남긴 사람은 대단하네요 사망률을 40%에서 2%까지ㄷㄷ
  조아라,나이팅게일이 진짜 대단하신 분이었구나 단순히 마음만 선한게 아니라 강한 마음과 냉철한 이성을 가지신 분이었네
  이채영,예전엔 과거로 돌아가서 전쟁을 막을수 있다면 막연히 좋기만 하지 않을까 했는데 의학의 역사 시리즈 볼때마다 그때 발전한 의학법이 많다는 걸 보고 기분이 묘해져요..
  자몽에이드,다치면 대충 물로씻고 연고바르고 밴드 붙였는데 이게 엄청나게 진보된 의학의 산물이었던거네요...
  JJ K,와 진짜 간단한 치료도 이렇게 수많은 희생으로 우리가 누리는 거라니ㅠㅠ 미래에 우리가 현재하는것중에서 어처구니없는 치료들은 뭐가될지 궁금하기도하네요.
  HEYJUDE,세상에.. 절단하고 끓는기름...... 경악을 금치 못하며 봤습니다ㄷㄷ 의학의 역사 시리즈 정말 유익하고 재밌어요. 골절의 역사는 또 얼마나 경악스러울지 궁금하면서도 기대가 되네요
  javaxer jack,"몇 가지 수정하자면, 도끼가 아니라 통상 톱으로 잘랐습니다.(그냥 목공용 톱) 시간이 더 걸린다는 점에서는 더 고통스러운 치료였고 영상에서 지적한 감염 문제로 대부분 사망했습니다.외과 수술을 의사가 직접 집도해야 한다는 발상도 그렇게 오래된 발상이 아닙니다. 그 전에는 이발소나 도살장의 도축자가 절단 작업을 했고 의사는 이걸 하면 안된다고 생각하는 이상한 풍조가 있었습니다.(이발소의 3색 회전 마크는 붕대, 동맥, 정맥을 상징하는 겁니다)"
  원_85,"닥프 너무 잘보고 있어요!!의학의 역사는 특히 재밌어요몇백년뒤에는 사람들이 ""야...21세기까지 암에 걸리면 방사선을 쏘고 머리빠지는 약을 줬대..""이러는거 상상하면 더 재밌어요!!"
  은또기,저는 간호사인데요 ㅎㅎ 의학의 주제로 긴 역사를 간략히 재미있게 설명해주시어 넘넘 재밌게 잘 듣고있어욥^^간호학 의학적 수업만 들어봤지 이렇게 의학의 방대한 역사를 접근해본적은 없어서정말 유익하고 재밌어요 ^^그리고 현대의학에 대해 더욱 감사함을 느끼게 되네요 
  모찌섭,최근에 의학의 역사 다 정주행하고 이거 나올 때만 기다리고 있었는데 알람 뜨자마자 바로 들어옴. 진짜 지금 시대에 태어난게 천운인걸 다시 한 번 느끼고감...글구 우창윤 선생님 고통받아 하시는게 넘 웃김ㅋㅋㅋㅠㅠ
  POB,의학의 역사보면 볼 수록.. 예전엔 자연사가 진짜 최고의 축복이었네요.
  그머시기,"와...너무 충격적이다.. 옛날 의학이 끔찍했다라는 것은 닥프 많이 보면서 그렇구나 했는데 중세시대나 19세기, 저 시대까지도 상처치료를 제대로 못해서 조그만 상처에도 죽는다는게 너무 충격적이야.."
  ㄴㄴ,오늘도 고통받는 창윤쌤…ㅋㅋㅋㅋㅋ의학의 역사 볼 때마다 창윤쌤 반응 너무 재밌어요
  바나야,"낙준쌤 안녕하세요! 닥프 의학의역사가 인생의 유일한 낙인 수능2주 남은 학생입니다 :) 진짜 요즘 너무 힘든데, 닥프에서 의학의 역사 컨텐츠 올라오는 날이면 '얼른 공부 끝내고 집 가서 맛있는거 먹으면서 의학의 역사 봐야징~~' 하면서 힘내는거 같아요ㅠ 네이버시리즈에 연재 시작하셨다고 들었는데 웹툰이나 웹소설은 수능 준비하면서 다 끊어서 얼른 수능 끝나고 네이버시리즈 정주행 가겠습니다! 항상 좋은 퀄리티의 재밌는 영상 제작해주셔서 감사합니다"
  바나나,의학의 역사 시리즈는 궁금해서 한번 눌러봤다가 계속 정주행하고 있는것같아요! 생각보다 흥미롭고 새로워서 더 다양한이야기를 듣고싶습니다 ㅎㅎ
  ᄒᄅ,의학의 역사는 우창윤 선생님 리액션 보는 맛에 보는 것 같아요ㅋㅋㅋㅋㅋㅋㅋ 편집고 재밌고 귀에 쏙쏙 들어와서 업로드 될 때마다 보게 되네요!
  the goodness,골절의 역사도 빨리 보고싶어요! 저는 의학의 역사만 기다려요 ㅎㅎㅎ 특히 선생님들의 리얼한 리액션이 재밌어서 더 좋아요
  강느낌표,후세에 치료법을 전승해준 선조님들께 정말 감사합니다ㅠㅠ
  manimani,근데 진짜 치료와 전쟁의 역사는 서로 뗄레야 뗄 수가 없는 관계네
  문연경,서양의 의학 역사다 보니 동양의 의학 역사와 비교해서도 들어보고 싶어요!! 화타 정약용 닽은 인물들도있고 대부분 동양의 의학은 상처치료 위주로만 알고 있어서 궁금해요!!
  zee43a,나이팅게일하면 백의의 천사정도만 알고 실제 업적에 대해서는 잘 알지 못했는데. (소독의 개념을 중시했다는 게 막 와닿지 않았음....21세기 현대인에겐 너무 당연한 개념이라서) 상처 치료의 역사를 알고 나니 얼마나 위대하신 분인지 깨닫게 됐습니다. 들으면 들을수록 진짜 의학 발전을 감사하게 여기게 됩니다.... 세상에 산화 납 구리 청동을 상처 부위에 바른다니
  게임하는알파카,서구권의 역사도 어마어마하네요 ㄷㄷ혹시 한국 등의 아시아권에서는 어땠을까요? 생각해보니 사극에서는 침이나 약만 먹고 찰과상이나 자상 치료하는 건 전혀 못봤던거 같은데 인도나 중국같은 곳들도 그랬을까요??
  Su_Zy,역시 강한 자들만 살아남을 수 있는 옛날
  핑크헤드,고통이 있는 부위를 썩어 없애어 다시는 고통받지 않게 한다라...여윽시 우리 조상님들은 위대해!!!!
  우정,외국의 자극적이고 충격적인 역사도 너무너무 재밌지만 동의보감이나 민간요법 같은 우리나라의 의학 역사도 궁금해요 !!
  동그리,매번 새로운 의학의 역사...선생님들 이거 평생 해주세요ㅠㅠ너무 새로워서 질리지가 않아요ㅋㅋㅋㅋㄷㄷㄷ
  문소연,의학의 역사 항상 너무 잘 보고 있습니다나이팅게일 천사같은 간호사인줄 알았는데 어마어마한 공을 세운 분이셨네요재밌는 영상 감사합니다!
  예지,의학역사 시리즈 너무 재밌어서 정주행했어요ㅜㅜ 매 에피소드마다 정성다해서 준비해오시는 낙준쌤께 박수를
  바나나푸딩,진짜 매 편영상마다 대박이다너무충격적이라 입벌어져요ㅠㅠㅠㅠㅠ그때는 몰랐으니까 그랬지만현대에서 생각하면 진짜이해가안되는치료법들에 너무놀라고..신기함 의학의역사 너무재밌어요절단이..너무충격적이다
  김보경,우연히 보게됐는데 낙준샘 설명 너무 재미있게 잘 해주셔서 역사 콘텐츠 쭉 이어서 보려규요 ㅋㅋㅋ
  K9,우창윤 선생님 이마 짚으시는게 왜이렇게 재밌죠.....ㅋㅋㅋㅋㅋ 같이 뒷목 잡으면서 보게됩니다 ㅋㅋ 현생에 바쁘시겠지만 앞으로도 좋은 컨텐츠 부탁드려요!^^
  crom next,최근에 봉와직염으로 2주째 항생제 먹고있습니다..그때였으면 다리 하나가 없겠네요의료의 진화에 깊은 감사를 드립니다 ㄸ
  이몽몽,인간이 멸종 안한게 정말 대단한 일이라 할 수 있네요....
  Shapry,놀랍다 못해 이젠 과거의 치료가 기괴하기 까지 하다...끓는 기름...?진짜 말이 안나오네요...
  cHerRY,"늘 영상 보면서 느끼는 거지만 21세기에서 살아가고 있어서 넘 다행이에요 ㅎㅅㅎ,,,기회가 된다면 치과 치료의 역사나 에이즈 치료의 역사도 보고 싶어요!"
  팬둥_,역사에 관심이 없었는데…이건 넘 재밌잖아요!!!!! 쉽게 설명을 잘 해주셔서 이해가 쏙쏙 되요!이렇게 설명해 주시려면 얼마나 많은 공부를 하시는건가요. ㅠ. 대단하십니다:
  노랑,마취의 발달이 의학에 넘 큰 기여를 했죠!앞으로100년..500년후의의학은 얼마나 발전할지궁금하네요.^^
  1 Gate,가끔 중세시대나 사극영화에 상처입으면 약초를 짖이겨 바르는건 흔한 일은 아니었나보네요. sns에서 수술장갑이 등장한 이유를 봤는데 한번 다뤄봐주시면 좋을것 같습니다. 내용이 굉장히 흥미진진했어요 ㅎㅎ 멜로와 호러가 섞였더군요.
  유튜브 보는 춘식이,"현대의 입장에서 옛날의 치료 역사를 보면 정말 경악스럽고 어떻게 그런 치료를 할 수 있지? 라는 생각이 들지만 결국 그런 치료 과정들 덕분에 데이터가 쌓여서 현대 의학이 발전했네요 근데 진짜 너무 아프고 고통스러웠을 거 같음ㅠㅠㅠ 자르고, 끓는 기름 붓고ㅠㅠ 현대에 태어나서 다행이라는 생각이 살짝 드네요.."
  우는쿼카,의학의 역사 시리즈 너무 재밌어요 ㅎㅎㅎ 여성 월경 또는 월경용품의 역사에 대해서도 언젠가 다뤄주시리라 생각하고 기다리고 있습니다^^
  7thlegin,진짜 의학의 발전은 수많은 희생을 뒤로한 것이군요
  jhj1057,대일밴드 하나 붙이는게 엄청난거 였구나...이 시대에 살고 있는게 새삼 고맙게 느껴지네요.
  로롤해,이런걸 대학교 교양강의로 만들어야함.. 얼마나 유익하고 재밌어
  윈드밀,너무 재밌고 기다려서 아껴보는 두번세번 보고 자식 보여주고. 암튼 최고의 컨텐츠입니다. 근데. 낙준선생님. 얼굴색이 검어져가시고 살도 빠지시고. 건강 잘 챙기시구요. 유익한데 즐겁고 재미있기까지 하니 오히려 구독자로서 늘 감사드려요.
  Amanda -,의학의 역사 시리즈 정말 흥미롭게 잘 보고 있습니다ㅎㅎ 꾸준하게 많이 올려주세요!
  그림그리는 눈알,찰과상을 달고 사는 저는 손 덜덜 떨면서 봤습니다 ㅋㅋㅋㅋㅋㅋㅋ내용도 재밌고 편집도 점점 웃겨져가요 ㅋㅋㅋㅋ
  리게이머,"요즘 웹소설로 현대 의사가 19세기 유럽 의학계로 간 내용을 보고있는데 치료, 수술 방법이 충격과 공포더라구요..."
  올리브마크라메,불만가득했던 일상에 찐 감사함을 일깨워주는 본격 인격수양 영상 
  Judyhyenju Choi,살줄알았지?ㅋㅋㅋ 중간중간 재밌게 말씀해주셔서 몰입도 최고 ㅋㅋㅋ
  _욜로욜로,"""왼 팔이 없어도 살수있게 해주시고.."" 이 부분이랑 해파리 쏘였을때 어땠어요 하던 낙준샘 오버랩돼욬ㅋㅋㅋㅋㅋㅋ 연기하는 낙준샘 넘 웃김ㅋㅋㅋㅋㅋㅋㅋㅋ"
  nomnom nom,우창윤 선생님 반응이랑 그에 대한 자막이 영상의 재미를 배로 살려줌ㅋㅋㅋㅋ
  ddong 2222,서로를 죽이기 위한 전쟁으로부터 사람을 살리는 의학이 발전되었다니 정말 아이러니하지만 재밌네요. 좋은 영상 잘 봤습니다.
